LSTM 語言模型訓練日誌
啟動時間: 2026-06-04 11:34:49.841177
vocab_size=1675, embed_size=128, hidden_size=128, num_layers=2, dropout=0.3
batch_size=64, lr=0.001, sequence_length=20, val_split=0.1, clip_grad_norm=1.0, min_freq=3, rep_penalty=1.2
================================================================================
 epoch | train_loss |   val_loss |           lr |  grad_norm |                 time
   146 |     2.9816 |     4.9355 |   0.00001000 |     3.4763 |  2026-06-04 11:39:10
   147 |     2.9792 |     4.9358 |   0.00001000 |     3.9170 |  2026-06-04 11:39:12
   148 |     2.9819 |     4.9357 |   0.00001000 |     3.2499 |  2026-06-04 11:39:14
   149 |     2.9792 |     4.9359 |   0.00001000 |     3.1695 |  2026-06-04 11:39:17
   150 |     2.9874 |     4.9357 |   0.00001000 |     3.1402 |  2026-06-04 11:39:19
   151 |     2.9824 |     4.9359 |   0.00001000 |     3.4195 |  2026-06-04 11:39:21
   152 |     2.9795 |     4.9357 |   0.00001000 |     3.6741 |  2026-06-04 11:39:23
   153 |     2.9824 |     4.9358 |   0.00001000 |     3.3685 |  2026-06-04 11:39:25
   154 |     2.9837 |     4.9358 |   0.00001000 |     4.0515 |  2026-06-04 11:39:26
   155 |     2.9802 |     4.9363 |   0.00001000 |     3.0380 |  2026-06-04 11:39:28
   156 |     2.9827 |     4.9362 |   0.00001000 |     3.6156 |  2026-06-04 11:39:30
   157 |     2.9751 |     4.9367 |   0.00001000 |     3.0579 |  2026-06-04 11:39:32
   158 |     2.9768 |     4.9365 |   0.00001000 |     3.6177 |  2026-06-04 11:39:34
   159 |     2.9842 |     4.9364 |   0.00001000 |     3.4198 |  2026-06-04 11:39:36
   160 |     2.9765 |     4.9365 |   0.00001000 |     3.1737 |  2026-06-04 11:39:38
   161 |     2.9812 |     4.9366 |   0.00001000 |     3.5149 |  2026-06-04 11:39:40
   162 |     2.9825 |     4.9365 |   0.00001000 |     3.2900 |  2026-06-04 11:39:42
   163 |     2.9859 |     4.9368 |   0.00001000 |     3.8429 |  2026-06-04 11:39:44
   164 |     2.9751 |     4.9371 |   0.00001000 |     3.2931 |  2026-06-04 11:39:46
   165 |     2.9811 |     4.9365 |   0.00001000 |     3.6564 |  2026-06-04 11:39:48
   166 |     2.9719 |     4.9362 |   0.00001000 |     3.8616 |  2026-06-04 11:39:50
   167 |     2.9824 |     4.9359 |   0.00001000 |     3.2331 |  2026-06-04 11:39:52
   168 |     2.9703 |     4.9372 |   0.00001000 |     3.6731 |  2026-06-04 11:39:54
   169 |     2.9708 |     4.9379 |   0.00001000 |     3.9215 |  2026-06-04 11:39:56
   170 |     2.9804 |     4.9379 |   0.00001000 |     3.7112 |  2026-06-04 11:39:58
   171 |     2.9758 |     4.9380 |   0.00001000 |     3.0768 |  2026-06-04 11:40:00
   172 |     2.9788 |     4.9380 |   0.00001000 |     3.1159 |  2026-06-04 11:40:02
   173 |     2.9748 |     4.9378 |   0.00001000 |     3.4596 |  2026-06-04 11:40:04
   174 |     2.9737 |     4.9378 |   0.00001000 |     3.3857 |  2026-06-04 11:40:06
   175 |     2.9747 |     4.9388 |   0.00001000 |     3.4366 |  2026-06-04 11:40:08
   176 |     2.9745 |     4.9387 |   0.00001000 |     3.5766 |  2026-06-04 11:40:10
   177 |     2.9761 |     4.9387 |   0.00001000 |     3.3393 |  2026-06-04 11:40:12
   178 |     2.9680 |     4.9393 |   0.00001000 |     3.4564 |  2026-06-04 11:40:14
   179 |     2.9773 |     4.9388 |   0.00001000 |     3.5461 |  2026-06-04 11:40:16
   180 |     2.9715 |     4.9390 |   0.00001000 |     3.6467 |  2026-06-04 11:40:17
   181 |     2.9722 |     4.9387 |   0.00001000 |     3.2217 |  2026-06-04 11:40:18
   182 |     2.9750 |     4.9400 |   0.00001000 |     3.1357 |  2026-06-04 11:40:20
   183 |     2.9686 |     4.9397 |   0.00001000 |     3.4760 |  2026-06-04 11:40:21
   184 |     2.9696 |     4.9394 |   0.00001000 |     3.6773 |  2026-06-04 11:40:23
   185 |     2.9730 |     4.9395 |   0.00001000 |     3.3143 |  2026-06-04 11:40:24
   186 |     2.9712 |     4.9396 |   0.00001000 |     3.3970 |  2026-06-04 11:40:26
   187 |     2.9682 |     4.9400 |   0.00001000 |     3.4064 |  2026-06-04 11:40:29
   188 |     2.9677 |     4.9404 |   0.00001000 |     3.4526 |  2026-06-04 11:40:31
   189 |     2.9725 |     4.9407 |   0.00001000 |     3.5012 |  2026-06-04 11:40:34
   190 |     2.9645 |     4.9411 |   0.00001000 |     3.9043 |  2026-06-04 11:40:35
   191 |     2.9656 |     4.9416 |   0.00001000 |     3.8116 |  2026-06-04 11:40:37
   192 |     2.9705 |     4.9416 |   0.00001000 |     3.9569 |  2026-06-04 11:40:38
   193 |     2.9667 |     4.9411 |   0.00001000 |     3.7865 |  2026-06-04 11:40:40
   194 |     2.9673 |     4.9412 |   0.00001000 |     3.1016 |  2026-06-04 11:40:42
   195 |     2.9725 |     4.9411 |   0.00001000 |     3.8328 |  2026-06-04 11:40:44
   196 |     2.9591 |     4.9417 |   0.00001000 |     3.4473 |  2026-06-04 11:40:46
   197 |     2.9685 |     4.9416 |   0.00001000 |     3.7814 |  2026-06-04 11:40:48
   198 |     2.9685 |     4.9412 |   0.00001000 |     3.2141 |  2026-06-04 11:40:50
   199 |     2.9636 |     4.9413 |   0.00001000 |     2.9856 |  2026-06-04 11:40:52
   200 |     2.9670 |     4.9415 |   0.00001000 |     3.2341 |  2026-06-04 11:40:54
   201 |     2.9701 |     4.9413 |   0.00001000 |     3.6810 |  2026-06-04 11:40:56
   202 |     2.9632 |     4.9410 |   0.00001000 |     3.5758 |  2026-06-04 11:40:58
   203 |     2.9662 |     4.9406 |   0.00001000 |     2.8020 |  2026-06-04 11:40:59
   204 |     2.9639 |     4.9412 |   0.00001000 |     3.4775 |  2026-06-04 11:41:01
   205 |     2.9642 |     4.9412 |   0.00001000 |     3.3720 |  2026-06-04 11:41:03
   206 |     2.9571 |     4.9424 |   0.00001000 |     3.4545 |  2026-06-04 11:41:05
   207 |     2.9670 |     4.9422 |   0.00001000 |     4.0001 |  2026-06-04 11:41:07
   208 |     2.9532 |     4.9427 |   0.00001000 |     3.4801 |  2026-06-04 11:41:08
   209 |     2.9657 |     4.9430 |   0.00001000 |     2.6581 |  2026-06-04 11:41:11
   210 |     2.9606 |     4.9425 |   0.00001000 |     3.2898 |  2026-06-04 11:41:13
   211 |     2.9611 |     4.9429 |   0.00001000 |     3.1190 |  2026-06-04 11:41:15
   212 |     2.9626 |     4.9431 |   0.00001000 |     3.6750 |  2026-06-04 11:41:17
   213 |     2.9633 |     4.9431 |   0.00001000 |     3.5573 |  2026-06-04 11:41:19
   214 |     2.9642 |     4.9425 |   0.00001000 |     3.0438 |  2026-06-04 11:41:21
   215 |     2.9610 |     4.9425 |   0.00001000 |     3.5120 |  2026-06-04 11:41:23
   216 |     2.9631 |     4.9427 |   0.00001000 |     3.3154 |  2026-06-04 11:41:25
